"filename", "language", "Python", "Batch", "PowerShell", "Properties", "C", "JSON", "reStructuredText", "YAML", "Markdown", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\range_slider.py", "Python", 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 47, 287
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\ref.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\responsive_row.py", "Python", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33, 211
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\row.py", "Python", 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 37, 241
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\safe_area.py", "Python", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 22, 164
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\scrollable_control.py", "Python", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20, 142
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\search_bar.py", "Python", 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 59, 404
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\segmented_button.py", "Python", 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 40, 284
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\selection_area.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 63
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\semantics.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 68
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\session_storage.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 26
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\shader_mask.py", "Python", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24, 182
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\shadow.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\shake_detector.py", "Python", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25, 107
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\slider.py", "Python", 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 44, 286
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\snack_bar.py", "Python", 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 53, 268
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\stack.py", "Python", 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23, 167
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\switch.py", "Python", 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 47, 305
